close,macd,EMA26,EMA12,macd_signal,buy,sell
126964,,,,,,
126971,294.2955499,,,,,
127085,308.3185216,,,,,
127071,325.6605249,,,,,
127024,336.7101227,,,,,
126955,343.1027121,,,,,
126940,342.9817755,,,,,
126891,345.5766909,,,326.4805967,,
126812,353.3011781,,,335.5000003,,
126868,371.5776147,,,344.7757565,,
126857,381.8787817,,,352.1697552,,
126805,381.7457497,,126936.9167,358.3860556,,
126794,383.2512575,,126914.9295,360.866224,,
126763,370.7868974,,126891.5557,364.4988791,,
126717,379.0294996,,126864.701,366.0891044,,
126693,372.4500056,,126838.2855,361.3127599,,
126827,342.2073821,,126836.5492,350.9472109,,
126855,309.4850145,,126839.3878,336.4983094,,
126898,278.7027036,,126848.4051,321.1352302,,
126973,259.6829135,,126867.5735,306.9751521,,
126937,250.3348397,,126878.2545,293.9581668,,
126999,241.8902252,,126896.8307,280.7560714,,
126987,227.94769,,126910.7029,266.639986,,
127044,210.1756445,,126931.2102,253.418904,,
127001,200.5345759,,126941.9471,241.2526184,,
127002,192.5874758,126912.8077,126951.186,228.8256853,,
127061,179.1179531,126923.7849,126968.0805,216.1373636,,
127185,165.3840769,126943.1342,127001.4527,203.1500383,,
127273,151.2007371,126967.5687,127043.2292,190.9383995,,
127252,142.0918443,126988.6377,127075.3478,179.4931267,,
127236,133.7120354,127006.9608,127100.0635,170.2620961,,
127185,133.3379739,127020.1489,127113.1307,163.5791413,,
127232,136.8473221,127035.8416,127131.4183,157.2217698,,
127317,131.7922835,127056.6681,127159.9693,152.0280065,326.4805967,
127485,131.2529537,127088.3964,127209.974,147.2295045,,
127452,128.0354964,127115.33,127247.2088,142.638029,,
127368,124.2721268,127134.0463,127265.792,137.4810792,,
127407,116.8532802,127154.2651,127287.5163,133.1187126,,
127255,115.6692463,127161.7269,127282.5138,128.5209639,,
127498,110.1299689,127186.6361,127315.6655,123.8149466,,
127353,104.9908774,127198.9593,127321.4093,117.9480167,,
127056,94.4802971,127188.3697,127280.5771,112.3289282,,361.3127599
126956,89.8525741,127171.1572,127230.6422,107.4256607,,
126900,87.81259085,127151.0714,127179.7741,103.8402286,,
